Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
RELIGION AND AMERICAN CULTURE-A JOURNAL OF INTERPRETATION	1052-1151	1533-8568	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	1.17
WORDSWORTH CIRCLE	0043-8006	2640-7310	POETRY - AHCI	N/A	N/A	0.59
LIAS-Journal of Early Modern Intellectual Culture and its Sources	2033-4753	2033-5016	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.43
THEATER HEUTE	0040-5507	0040-5507	THEATER - AHCI	N/A	N/A	0.02
STUDI FRANCESI	0039-2944	0039-2944	LITERATURE, ROMANCE - AHCI	N/A	N/A	0.00
CONTEMPORARY THEATRE REVIEW	1048-6801	1477-2264	THEATER - AHCI	N/A	N/A	1.22
Journal of Architectural Conservation	1355-6207	2326-6384	ARCHITECTURE - AHCI	N/A	N/A	2.17
JOURNAL OF CULTURAL HERITAGE	1296-2074	1778-3674	ARCHAEOLOGY - AHCI$ART - AHCI	N/A	N/A	2.29
Iberica	1139-7241	2340-2784	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.65
Filozofia Nauki	1230-6894	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.29
Axiomathes	1122-1151	1572-8390	PHILOSOPHY - AHCI	N/A	N/A	0.58
EUROPEAN HISTORY QUARTERLY	0265-6914	1461-7110	HISTORY - AHCI	N/A	N/A	1.08
Journal of Chinese Cinemas	1750-8061	1750-807X	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.36
TEMPO	0040-2982	1478-2286	MUSIC - AHCI	N/A	N/A	0.48
KONSTHISTORISK TIDSKRIFT	0023-3609	1651-2294	ART - AHCI	N/A	N/A	0.38
SCOTTISH JOURNAL OF THEOLOGY	0036-9306	1475-3065	RELIGION - AHCI	N/A	N/A	0.47
NORTH AMERICAN REVIEW	0029-2397	N/A	LITERARY REVIEWS - AHCI	N/A	N/A	0.00
Signa-Revista de la Asociacion Espanola de Semiotica	1133-3634	2254-9307	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.39
Recherches de Theologie et Philosophie Medievales	1370-7493	1783-1717	MEDIEVAL & RENAISSANCE STUDIES - AHCI$RELIGION - AHCI	N/A	N/A	0.75
International Journal of the Platonic Tradition	1872-5082	1872-5473	PHILOSOPHY - AHCI	N/A	N/A	0.38
ANNALES HISTORIQUES DE LA REVOLUTION FRANCAISE	0003-4436	1952-403X	HISTORY - AHCI	N/A	N/A	0.25
Vernacular Architecture	0305-5477	1749-6292	ARCHITECTURE - AHCI	N/A	N/A	1.00
East Asian Science Technology and Society-An International Journal	1875-2160	1875-2152	ASIAN STUDIES - AHCI$HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	1.52
Biosemiotics	1875-1342	1875-1350	HISTORY & PHILOSOPHY OF SCIENCE - AHCI$HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	2.33
Senses & Society	1745-8927	1745-8935	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	3.42
APERTURE	0003-6420	0003-6420	ART - AHCI	N/A	N/A	0.02
Differences-A Journal of Feminist Cultural Studies	1040-7391	1527-1986	CULTURAL STUDIES - AHCI	N/A	N/A	0.30
GERMANIC REVIEW	0016-8890	1930-6962	LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - AHCI	N/A	N/A	1.54
Sophia	0038-1527	1873-930X	PHILOSOPHY - AHCI	N/A	N/A	0.36
REVUE DES LANGUES ROMANES	0223-3711	N/A	LANGUAGE & LINGUISTICS - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	0.04
European Journal of Cultural Studies	1367-5494	1460-3551	CULTURAL STUDIES - AHCI	N/A	N/A	2.03
Contemporary Pragmatism	1572-3429	1875-8185	PHILOSOPHY - AHCI	N/A	N/A	0.36
Southern African Linguistics and Applied Language Studies	1607-3614	1727-9461	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.37
Historical Studies in the Natural Sciences	1939-1811	1939-182X	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.56
HESPERIA	0018-098X	1553-5622	ARCHAEOLOGY - AHCI	N/A	N/A	0.52
Azania-Archaeological Research in Africa	0067-270X	1945-5534	ARCHAEOLOGY - AHCI	N/A	N/A	0.96
Perspectives-Studies in Translation Theory and Practice	0907-676X	1747-6623	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.01
SLAVIC REVIEW	0037-6779	2325-7784	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.96
International Journal of Bilingual Education and Bilingualism	1367-0050	1747-7522	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	2.66
TRAMES-Journal of the Humanities and Social Sciences	1406-0922	1736-7514	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.85
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE	0012-0936	2365-9521	LITERARY THEORY & CRITICISM - AHCI	N/A	N/A	0.65
Journal for Eighteenth-Century Studies	1754-0194	1754-0208	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.85
Advances in Archaeological Practice	2326-3768	2326-3768	ARCHAEOLOGY - AHCI	N/A	N/A	1.31
