Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Compare-A Journal of Comparative and International Education	0305-7925	1469-3623	EDUCATION & EDUCATIONAL RESEARCH - SSCI	1.879	Q3	1.07
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH	0309-1317	1468-2427	GEOGRAPHY - SSCI$REGIONAL & URBAN PLANNING - SSCI$URBAN STUDIES - SSCI	3.732	Q2	1.22
HEALTH CARE MANAGEMENT REVIEW	0361-6274	1550-5030	HEALTH POLICY & SERVICES - SSCI	3.097	Q2	1.22
POST-SOVIET AFFAIRS	1060-586X	1938-2855	AREA STUDIES - SSCI$ECONOMICS - SSCI$POLITICAL SCIENCE - SSCI	1.828	Q1	1.51
Advances in Cognitive Psychology	1895-1171	1895-1171	PSYCHOLOGY, EXPERIMENTAL - SSCI	1.217	Q4	0.33
JOURNAL OF JAPANESE STUDIES	0095-6848	1549-4721	AREA STUDIES - SSCI	0.353	Q4	0.51
International Journal of Transitional Justice	1752-7716	1752-7724	INTERNATIONAL RELATIONS - SSCI$LAW - SSCI$POLITICAL SCIENCE - SSCI	1.758	Q2	1.05
NEUROPSYCHOLOGY REVIEW	1040-7308	1573-6660	PSYCHOLOGY, CLINICAL - SSCI	6.940	Q1	0.88
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	0013-1644	1552-3888	PSYCHOLOGY, EDUCATIONAL - SSCI$PSYCHOLOGY, MATHEMATICAL - SSCI	3.088	Q1	0.94
Journal of Business-to-Business Marketing	1051-712X	1547-0628	BUSINESS - SSCI	3.045	Q3	0.48
JOURNAL OF EDUCATION POLICY	0268-0939	1464-5106	EDUCATION & EDUCATIONAL RESEARCH - SSCI	3.000	Q2	1.91
Higher Education Research & Development	0729-4360	1469-8366	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.849	Q2	1.72
HIGHER EDUCATION	0018-1560	1573-174X	EDUCATION & EDUCATIONAL RESEARCH - SSCI	3.947	Q1	2.31
Journal of Multinational Financial Management	1042-444X	1873-1309	BUSINESS, FINANCE - SSCI	4.482	Q1	1.55
IMA Journal of Management Mathematics	1471-678X	1471-6798	MANAGEMENT - SSCI$SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI	2.095	Q3	0.59
BULLETIN OF INDONESIAN ECONOMIC STUDIES	0007-4918	1472-7234	AREA STUDIES - SSCI$ECONOMICS - SSCI	3.269	Q1	1.96
PAEDAGOGICA HISTORICA	0030-9230	1477-674X	EDUCATION & EDUCATIONAL RESEARCH - SSCI$HISTORY OF SOCIAL SCIENCES - SSCI	0.669	Q3	0.39
SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW	0038-0288	2336-128X	SOCIOLOGY - SSCI	0.481	Q4	0.25
JOURNAL OF PSYCHIATRIC RESEARCH	0022-3956	1879-1379	PSYCHIATRY - SSCI	5.250	Q2	1.20
Regulation & Governance	1748-5983	1748-5991	LAW - SSCI$POLITICAL SCIENCE - SSCI$PUBLIC ADMINISTRATION - SSCI	3.203	Q1	2.46
ECONOMICS LETTERS	0165-1765	1873-7374	ECONOMICS - SSCI	1.469	Q3	0.69
HISTORY OF SCIENCE	0073-2753	1753-8564	HISTORY & PHILOSOPHY OF SCIENCE - SSCI	1.037	Q3	0.84
VOPROSY PSIKHOLOGII	0042-8841	N/A	PSYCHOLOGY, EDUCATIONAL - SSCI	0.349	Q4	0.13
JOURNAL OF SOUTHERN AFRICAN STUDIES	0305-7070	1465-3893	AREA STUDIES - SSCI	0.864	Q3	0.86
Chinese Journal of Communication	1754-4750	1754-4769	COMMUNICATION - SSCI	3.698	Q2	1.01
Iranian Studies	0021-0862	1475-4819	AREA STUDIES - SSCI	0.359	Q4	0.71
Active Learning in Higher Education	1469-7874	1741-2625	EDUCATION & EDUCATIONAL RESEARCH - SSCI	3.795	Q1	2.36
Journal of Behavioral and Experimental Finance	2214-6350	2214-6369	BUSINESS, FINANCE - SSCI$ECONOMICS - SSCI	8.222	Q1	2.64
Cambridge Journal of Regions Economy and Society	1752-1378	1752-1386	DEVELOPMENT STUDIES - SSCI$ECONOMICS - SSCI$GEOGRAPHY - SSCI	5.176	Q1	2.43
Translational Behavioral Medicine	1869-6716	1613-9860	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	3.626	Q2	0.90
Asian Journal of Criminology	1871-0131	1871-014X	CRIMINOLOGY & PENOLOGY - SSCI	1.778	Q3	0.84
TEXAS LAW REVIEW	0040-4411	1942-857X	LAW - SSCI	1.394	Q2	1.65
BUSINESS HISTORY	0007-6791	1743-7938	BUSINESS - SSCI$HISTORY OF SOCIAL SCIENCES - SSCI	0.800	Q2	0.68
Natural Language Semantics	0925-854X	1572-865X	LINGUISTICS - SSCI	1.524	Q2	1.56
BASIC AND APPLIED SOCIAL PSYCHOLOGY	0197-3533	1532-4834	PSYCHOLOGY, SOCIAL - SSCI	1.518	Q4	0.42
EUROPEAN HISTORY QUARTERLY	0265-6914	1461-7110	HISTORY - SSCI$POLITICAL SCIENCE - SSCI	0.805	Q2	1.08
Lancet Public Health	2468-2667	2468-2667	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	72.427	Q1	9.95
Journal of Transcultural Nursing	1043-6596	1552-7832	NURSING - SSCI	1.869	Q3	1.05
INTERNATIONAL ORGANIZATION	0020-8183	1531-5088	INTERNATIONAL RELATIONS - SSCI$POLITICAL SCIENCE - SSCI	5.754	Q1	3.09
African Journal of Reproductive Health	1118-4841	2141-3606	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	0.961	Q4	0.25
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT	0924-3453	1744-5124	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.620	Q2	1.21
LEARNING AND INSTRUCTION	0959-4752	1873-3263	EDUCATION & EDUCATIONAL RESEARCH - SSCI$PSYCHOLOGY, EDUCATIONAL - SSCI	6.636	Q1	2.84
HEALTH POLICY	0168-8510	1872-6054	HEALTH POLICY & SERVICES - SSCI	3.255	Q2	1.01
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION	0194-4363	1939-0130	REGIONAL & URBAN PLANNING - SSCI$URBAN STUDIES - SSCI	6.074	Q1	1.38
FOLIA LINGUISTICA	0165-4004	1614-7308	LINGUISTICS - SSCI	0.613	Q4	0.56
Journal of Macromarketing	0276-1467	1552-6534	BUSINESS - SSCI	1.979	Q4	0.55
Zeitschrifte fur Familienforschung-Journal of Family Research	1437-2940	2196-2154	FAMILY STUDIES - SSCI	1.375	Q4	0.30
JOURNAL OF LAW AND SOCIETY	0263-323X	1467-6478	LAW - SSCI$SOCIOLOGY - SSCI	1.431	Q2	1.02
Journal of Wine Economics	1931-4361	1931-437X	ECONOMICS - SSCI	2.178	Q2	0.79
CORTEX	0010-9452	1973-8102	PSYCHOLOGY, EXPERIMENTAL - SSCI	4.644	Q1	1.08
Computational and Mathematical Organization Theory	1381-298X	1572-9346	SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI	1.902	Q3	0.56
JOURNAL OF MANAGEMENT INQUIRY	1056-4926	1552-6542	MANAGEMENT - SSCI	2.709	Q4	0.78
